City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,sungai penuh,-2.0833,101.3833,64.26,98,93,2.93,ID,2023-07-17
240,makhjan,17.2698,73.5003,77.18,91,100,5.44,IN,2023-07-17
241,puerto armuelles,8.2833,-82.8667,71.58,84,86,2.8,PA,2023-07-17
242,tejen,37.3834,60.5054,82.65,40,0,22.64,TM,2023-07-17
243,maragogi,-9.0122,-35.2225,74.71,83,13,8.79,BR,2023-07-17
244,ojinaga,29.5667,-104.4167,106.41,17,0,8.05,MX,2023-07-17
245,itamaraca,-7.7478,-34.8256,78.85,86,12,9.75,BR,2023-07-17
246,kavieng,-2.5744,150.7967,82.76,77,94,3.83,PG,2023-07-17
247,kotido,2.9806,34.1331,70.54,57,84,6.33,UG,2023-07-17
248,bubaque,11.2833,-15.8333,79.11,84,100,13.4,GW,2023-07-17
249,ain sukhna,29.6002,32.3167,85.35,43,0,6.31,EG,2023-07-17
250,swakopmund,-22.6833,14.5333,74.25,43,0,1.99,,2023-07-17
251,indre arna,60.4247,5.4764,55.62,1,96,4.03,NO,2023-07-17
252,napier,-39.4833,176.9167,55.27,73,14,1.99,NZ,2023-07-17
253,wuhai,39.6647,106.8122,76.82,40,0,19.3,CN,2023-07-17
254,itaituba,-4.2761,-55.9836,84.06,47,97,1.23,BR,2023-07-17
255,chibougamau,49.9168,-74.3659,65.82,82,0,8.19,CA,2023-07-17
256,sebezh,56.2955,28.4654,60.51,81,73,5.03,RU,2023-07-17
257,puerto baquerizo moreno,-0.9,-89.6,79.79,78,75,13.8,EC,2023-07-17
258,whitehorse,60.7161,-135.0538,65.17,63,75,2.3,CA,2023-07-17
259,copperas cove,31.1241,-97.9031,106.72,18,0,12.66,US,2023-07-17
260,okhotsk,59.3833,143.3,68.56,51,40,12.35,RU,2023-07-17
261,chimore,-16.9833,-65.1333,68.56,81,85,2.53,BO,2023-07-17
262,aykhal,66.0,111.5,46.65,67,66,13.38,RU,2023-07-17
263,mbandaka,0.0487,18.2603,72.37,86,25,3.24,CD,2023-07-17
264,grand falls-windsor,48.9332,-55.6649,77.5,70,50,1.01,CA,2023-07-17
265,hobyo,5.3505,48.5268,76.46,85,24,28.21,SO,2023-07-17
266,amurzet,47.6967,131.0981,66.58,89,77,2.68,RU,2023-07-17
267,la passe,45.5549,-0.8967,66.97,66,0,9.33,FR,2023-07-17
268,sola,-13.8833,167.55,81.27,83,75,9.22,VU,2023-07-17
269,penon blanco,24.7897,-104.0369,88.84,18,9,14.03,MX,2023-07-17
270,kalabo,-14.97,22.6814,54.48,43,0,5.59,ZM,2023-07-17
271,mariehamn,60.0973,19.9348,60.66,82,0,10.36,AX,2023-07-17
272,jiwani,25.05,61.7417,83.1,82,81,9.71,PK,2023-07-17
273,praszka,51.0537,18.4532,59.65,61,31,9.66,PL,2023-07-17
274,nigel,-26.4314,28.4771,52.39,41,0,2.39,ZA,2023-07-17
275,kalmunai,7.4167,81.8167,80.2,75,96,7.05,LK,2023-07-17
276,margaret river,-33.95,115.0667,61.32,68,99,18.68,AU,2023-07-17
277,dolinsk,47.35,142.8,63.68,77,90,1.21,RU,2023-07-17
278,dwarka,22.2394,68.9678,82.38,80,100,17.96,IN,2023-07-17
279,temryuk,45.2722,37.3811,57.42,60,0,5.46,RU,2023-07-17
280,kilindoni,-7.9139,39.6668,77.07,79,0,17.65,TZ,2023-07-17
281,zhenlai,45.8495,123.2973,71.64,73,1,5.48,CN,2023-07-17
282,turpan,42.9333,89.1667,94.89,19,99,4.0,CN,2023-07-17
283,mount gambier,-37.8333,140.7667,49.82,79,77,12.88,AU,2023-07-17
284,farafangana,-22.8167,47.8333,67.17,92,19,3.38,MG,2023-07-17
285,kristinestad,62.2743,21.376,58.1,87,99,13.56,FI,2023-07-17
286,santa vitoria do palmar,-33.5189,-53.3681,42.06,71,6,7.85,BR,2023-07-17
287,ornskoldsvik,63.2909,18.7153,58.15,94,100,2.3,SE,2023-07-17
288,guarapari,-20.6667,-40.4975,74.89,91,17,0.56,BR,2023-07-17
289,palia kalan,28.45,80.5833,82.51,79,100,5.37,IN,2023-07-17
